"","comname","group","mean_sst","mean_bt","mean_depth","mean_lat","mean_lon"
"1","northern searobin","group_1",14.161038842169,12.9161571785466,66.4073804586811,38.4979955712168,-73.4955360401987
"2","striped searobin","group_1",13.5916002686454,13.4776005687545,69.9768511122719,38.0368311038302,-74.1486429803771
"3","northern searobin","group_2",14.4208091147313,12.9582419212205,65.4518076334504,39.2827417405001,-72.6781710687145
"4","striped searobin","group_2",14.6837896459221,13.6746119845989,67.2191438554907,39.1277597611275,-73.1782225141393
