"","comname","welch_lat_p","welch_lon_p","welch_sst_p","welch_bt_p","welch_depth_p"
"1","northern searobin",0,0.034,0.628,0.908,0.77
"2","striped searobin",0.002,0.001,0.189,0.77,0.644
