comname,est_year,avg_depth,avg_bot_temp,avg_sur_temp,avg_lat,avg_lon
acadian redfish,1970,184.34988092560366,7.223786138011257,6.873575359865984,42.796615176889276,-68.48129895214183
acadian redfish,1971,181.47026056692545,7.793917989945515,7.567217145584902,42.89091388350827,-68.31134410320317
acadian redfish,1972,195.14880694501534,7.390401158144611,7.191179395807454,42.629984821367124,-68.57945640875661
acadian redfish,1973,188.04076676211668,7.1266822233316205,8.212133691310001,42.72339422388548,-68.56006341579996
acadian redfish,1974,189.4195367657651,8.170743827538242,8.603543853277566,42.70844318305271,-68.35223891137835
acadian redfish,1975,182.31532430807715,7.652933340126872,7.616697071443294,42.73961535586684,-67.9095458832418
acadian redfish,1976,198.6347728855319,7.873190779701387,7.741144603322429,42.985489148347334,-68.23258020154387
acadian redfish,1977,167.84077421491702,6.268866442175273,7.946647425680362,42.75447820809896,-69.15647725834893
acadian redfish,1978,161.6884674391423,6.010162163670796,8.854938906440175,42.72319613575035,-68.74509325816379
acadian redfish,1979,178.03067585885896,6.294720458865868,8.169888136725191,42.649459991111414,-68.57103332552623
acadian redfish,1980,202.17710220422086,6.40410470172124,8.324052114354183,42.611636872181094,-68.45930612678251
acadian redfish,1981,193.32498938920105,6.473091238445178,8.895458156044988,43.082911601286106,-68.24535096193196
acadian redfish,1982,182.04253877848765,6.67764752184055,8.303273489510172,42.795469938240444,-68.5394331332306
acadian redfish,1983,167.305470239641,6.844775460943234,8.03663455018322,42.85482423079331,-68.79397255908748
acadian redfish,1984,186.67086030932376,7.00795743069402,8.484765954118489,42.8087349798855,-68.50711031748978
acadian redfish,1985,209.94005626294233,7.861898035888185,7.841693138151662,42.801939659129715,-68.05369046272864
acadian redfish,1986,176.21266922477213,8.563764881734876,9.06513984900868,42.996130210433705,-68.21917263612556
acadian redfish,1987,198.83171842343666,7.324257398994769,7.734265363545732,42.82888234839234,-67.79224874671061
acadian redfish,1988,181.561168074952,7.1304220304602595,6.827766405498015,43.24444958102382,-67.75172730874837
acadian redfish,1989,195.34681354904546,6.414132021208507,7.913966922399602,42.86357124924298,-68.0814713808445
acadian redfish,1990,189.24217809292549,7.068796101654551,9.47965348839813,42.710555225790365,-68.39259253312653
acadian redfish,1991,209.25855119185414,7.807963322708439,8.408814549896368,42.9734193107459,-67.63283593680609
acadian redfish,1992,186.21293672415987,6.747366317345614,7.60593679594039,42.88696200253766,-68.18175934306097
acadian redfish,1993,186.87595888707472,7.057591075246734,8.453572977974227,42.79211535217961,-67.94717667874312
acadian redfish,1994,172.45208672794453,6.85576342601132,8.68659359924125,42.60302400765386,-68.5523342037493
acadian redfish,1995,161.16936106458024,7.36819230929132,8.875663389524576,43.10479607241598,-68.4277661060245
acadian redfish,1996,180.74857681273045,7.313814406413734,8.210462605518337,42.95379176764601,-68.15969466954266
acadian redfish,1997,173.89881521590206,6.902150947952533,8.496259755468058,42.76186694677476,-69.00469758113988
acadian redfish,1998,181.60493897642425,6.66324691936971,8.34333368560597,42.56492289167784,-68.55325651392323
acadian redfish,1999,175.26344372907957,6.8467180358007855,8.573208641980855,42.68839487324334,-68.87565705069389
acadian redfish,2000,174.61918947251206,7.167471625872524,9.720901894644987,42.808770891532085,-68.723811741419
acadian redfish,2001,182.09900103709015,6.842929480127272,9.201127412827129,42.597548932390254,-68.52569396434149
acadian redfish,2002,176.20200022257887,7.626570326271364,9.438523982651859,42.898192684157586,-68.48853080615751
acadian redfish,2003,175.23805042771747,6.005876539613268,8.522137031215848,42.61006972468245,-69.11646685373238
acadian redfish,2004,189.5000131654148,5.620494250272366,7.8937641454227006,42.738824815218905,-68.52777481232502
acadian redfish,2005,186.76495997312537,7.040567447999226,8.49172729341103,42.874227639383456,-68.27576036076185
acadian redfish,2006,185.09713712775488,7.714787817615985,9.66536653736074,42.726136477504944,-68.54001315257932
acadian redfish,2007,176.7081360335518,6.289538268756498,9.041423324849701,42.76751205080586,-68.7230733354566
acadian redfish,2008,189.504507915143,6.823173406332589,10.425754955010284,42.65653682268369,-68.42172246471381
acadian redfish,2009,183.56967616421383,6.931395077831441,8.093879946751303,42.78540658403219,-68.46848253201182
acadian redfish,2010,183.89349498579492,7.338462395213936,8.741987895942934,42.581915972923525,-68.93944612203364
acadian redfish,2011,179.98091154915076,8.006477495488811,9.162703073414228,43.1404721227438,-68.48834663230822
acadian redfish,2012,179.22278664197302,7.829223753267852,10.83374079182274,42.74442642777575,-68.94490198483165
acadian redfish,2013,188.63932818258894,7.759414739223521,8.953635465055633,42.91040691523447,-68.12248957859632
acadian redfish,2014,184.08449638248254,7.489199446438548,10.669112818335858,42.8374793394424,-68.40975565478129
acadian redfish,2015,190.00578806115084,7.7854013658196255,9.343690518198875,42.94778210298492,-67.97942158487751
acadian redfish,2016,196.83150243965642,8.218283645299852,11.525220735020831,42.797072531794505,-68.33479255982918
acadian redfish,2018,187.15423098491272,7.8813662281109895,10.181102734684188,42.67967970047898,-68.36111196980485
acadian redfish,2019,190.10406517662054,8.142122869005565,9.487972493475105,42.831334577732044,-68.8222300824093
alewife,1970,82.52996346140546,7.97755504565675,8.833782619299056,40.910015333056826,-70.41221669097445
alewife,1971,95.73543564094726,9.1448056637302,7.592373289165424,41.80367706445857,-69.55247622196568
alewife,1972,81.98185030061987,8.105855713841311,8.083272270836275,41.97116918326111,-69.8717117066318
alewife,1973,102.1649245582076,9.452978963366084,7.505025684725336,41.56493010650706,-69.63230404836318
alewife,1974,73.65760547707693,7.971795430283713,8.143038764004194,41.977238740063555,-70.59049076157564
