comname,group,mean_sst,mean_bt,mean_depth,mean_lat,mean_lon
acadian redfish,1970-2009,8.395802188649146,7.030046558648238,183.90955430224386,42.799830396788586,-68.42204289980234
acadian redfish,2010-2019,9.877685169550043,7.8277724375409665,186.65740048937008,42.83006329901227,-68.48916624105244
alewife,1970-2009,8.378640024628892,8.087279060157186,105.15975088024207,41.90437881958058,-69.82717354619899
alewife,2010-2019,9.632064592309813,8.25001774833713,134.14908115125726,42.64385672744388,-69.25540225578547
american lobster,1970-2009,10.139941801800179,9.277468153737448,132.85859403625733,41.455105336620775,-69.30209561864042
american lobster,2010-2019,10.046771093655549,8.820476108809236,139.59511987306564,42.70968159004382,-68.08514197325242
american plaice,1970-2009,8.569412882210615,6.298896105959651,142.25723886162368,42.66575584384742,-69.16713928182206
american plaice,2010-2019,10.169695291247388,7.065338946273809,150.76357293060087,42.81850862743572,-69.36282254482065
american shad,1970-2009,9.464383138032579,8.572665649881607,120.79251771732014,41.58389541781634,-69.78101678151155
american shad,2010-2019,11.066519009401256,9.253996604769744,130.81372777801553,41.8721165168939,-69.5661495840856
atlantic cod,1970-2009,8.660423774140586,7.010147619397994,98.82448151872535,42.14018452416007,-68.4938810712074
atlantic cod,2010-2019,10.248187782288976,8.16833223472989,99.197860951412,42.27972407645601,-68.26234950824089
atlantic hagfish,1970-2009,9.946094462861396,6.989138559093233,196.84610943020547,41.90109876305149,-69.7924559265297
atlantic hagfish,2010-2019,11.161813160825856,7.989121670005448,197.74782123454304,41.99165389657348,-69.22210517447185
atlantic herring,1970-2009,8.861162620900775,6.583064306510559,94.3563305644208,41.52954554524635,-70.06431650727812
atlantic herring,2010-2019,9.972025849383543,7.485733152873632,106.78842790979452,41.75441923398013,-69.5579197558084
atlantic mackerel,1970-2009,10.333101267334712,9.457609685310722,84.42640242790424,40.606448183747624,-70.50346679726351
atlantic mackerel,2010-2019,10.043009035120894,9.3748198507475191,82.27567113433274,41.52335525057801,-69.52101610847949
atlantic rock crab,1970-2009,12.685686542056164,9.319184546491671,89.01819005653711,39.5131262713212,-71.98746028671285
atlantic rock crab,2010-2019,14.232324702966315,9.760701962905026,100.19728864830527,39.494754973341784,-71.51172723365204
black sea bass,1970-2009,14.966409195268824,13.398817086629032,67.71571829852817,37.78543798348507,-74.24864581658605
black sea bass,2010-2019,14.122688920451962,13.494981277484404,70.8839936821832,39.54202999028256,-72.71191141994734
blackbelly rosefish,1970-2009,12.549926105354045,8.978424555760608,274.2030508948655,40.216292674243384,-69.871391966392
blackbelly rosefish,2010-2019,11.301724625057412,9.496902322960095,254.58186153698207,41.42524861182826,-67.9207328592906
butterfish,1970-2009,13.460362374915883,11.585667512066662,102.6867950955801,39.137766138137145,-72.0476123356411
