comname,season,season_obs,missed_years
american lobster,Spring,48,1977, 1978
american lobster,Fall,47,1976, 1977, 1978
clearnose skate,Fall,48,1988, 2017
clearnose skate,Spring,47,1970, 1971, 1975
atlantic argentine,Spring,48,2014, 2019
atlantic argentine,Fall,46,2013, 2015, 2017, 2019
striped searobin,Spring,50,
striped searobin,Fall,44,1973, 1979, 1987, 1988, 1989, 2005
lumpfish,Spring,48,1974, 1982
lumpfish,Fall,45,1983, 1984, 1985, 1991, 1993
moustache sculpin,Spring,45,1985, 1987, 1997, 2000, 2003
moustache sculpin,Fall,48,2001, 2003
grenadier uncl,Spring,45,1972, 1973, 1980, 1992, 1993
grenadier uncl,Fall,47,1971, 1987, 2005
armored searobin,Spring,44,2000, 2001, 2013, 2016, 2017, 2019
armored searobin,Fall,47,1993, 2016, 2017
weitzmans pearlsides,Spring,45,1973, 1977, 1978, 1979, 1981
weitzmans pearlsides,Fall,46,1972, 1977, 2017, 2018
